feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV315	Filtered	yes	-0.013325652092244	0.00598496015371947	16	4	0.042909505233552	0.169676443552103
ASV372	Filtered	yes	-0.0110683058744088	0.00502975360196892	16	4	0.0450524531712976	0.17713805451442
ASV71	Filtered	yes	-0.0557973245507474	0.0255030143573723	16	7	0.0461365354641856	0.180375607577494
ASV72	Filtered	yes	-0.0585571649689745	0.0268297719506919	16	10	0.0465987055709397	0.181159012669047
ASV764	Filtered	yes	-0.00679274767462608	0.00311693772778897	16	4	0.0468821162913724	0.181242594824747
ASV55	Filtered	yes	-0.0689527027987491	0.0317928197843956	16	8	0.0478098439044902	0.183802288788373
ASV263	Filtered	yes	-0.0145511192307853	0.00675381199255325	16	4	0.0491031658680016	0.187731440777111
ASV38	Filtered	yes	-0.0494870368197887	0.0230093258812184	16	8	0.0494489635361077	0.188014740477948
ASV54	Filtered	yes	-0.054907721473344	0.027260459315535	16	7	0.0636190443682909	0.189912181764135
ASV92	Filtered	yes	-0.0325402453271459	0.0157842568711631	16	5	0.0583262122188239	0.189912181764135
ASV105	Filtered	yes	-0.0300991582817832	0.0148710690331229	16	3	0.0624871681959506	0.189912181764135
ASV108	Filtered	yes	-0.0486862315297648	0.022736437241907	16	6	0.0503225917920454	0.189912181764135
ASV122	Filtered	yes	-0.0257368937589058	0.0121098548855667	16	5	0.051845822048178	0.189912181764135
ASV133	Filtered	yes	-0.0108323991585484	0.005316937539414	16	3	0.0609800012066278	0.189912181764135
ASV141	Filtered	yes	-0.0247693478258929	0.011750740454169	16	6	0.0535447126176477	0.189912181764135
ASV144	Filtered	yes	-0.0357397484055106	0.017030927612641	16	7	0.0544820659752516	0.189912181764135
ASV164	Filtered	yes	-0.0280740120875665	0.0140000580195149	16	4	0.0646625074661853	0.189912181764135
ASV225	Filtered	yes	-0.0223386938230901	0.0112927148809123	16	4	0.0679361915778279	0.189912181764135
ASV243	Filtered	yes	-0.0146172385504409	0.00727156293658908	16	4	0.0640851743194214	0.189912181764135
ASV247	Filtered	yes	-0.0207614451946476	0.0102321325039994	16	4	0.0619137991224809	0.189912181764135
ASV275	Filtered	yes	-0.0138356675424944	0.00692578979212427	16	3	0.0655619184823181	0.189912181764135
ASV296	Filtered	yes	-0.00561551126921479	0.00283685937549675	16	3	0.0677721241041018	0.189912181764135
ASV297	Filtered	yes	-0.013045998264033	0.00659775108706743	16	3	0.0680363133003309	0.189912181764135
ASV305	Filtered	yes	-0.0122743366428602	0.00626971472187036	16	3	0.0705009623781477	0.189912181764135
ASV306	Filtered	yes	-0.00916349536847894	0.00454794807672463	16	3	0.0635406893278303	0.189912181764135
ASV314	Filtered	yes	-0.012196660810898	0.00622518283308052	16	3	0.0703062974786177	0.189912181764135
ASV320	Filtered	yes	-0.0118869046447437	0.00582888779752699	16	3	0.0607599888419435	0.189912181764135
ASV333	Filtered	yes	-0.0126997627469242	0.00619845219235607	16	3	0.0597042353961355	0.189912181764135
ASV347	Filtered	yes	-0.0123624413066103	0.00606758724741644	16	3	0.0609668292327568	0.189912181764135
ASV368	Filtered	yes	-0.0130016744435407	0.00636544826255996	16	3	0.0604011058897212	0.189912181764135
ASV371	Filtered	yes	-0.0120285736498645	0.0058855397314096	16	3	0.0602669667773931	0.189912181764135
ASV376	Filtered	yes	-0.0115667945419943	0.00564947877913352	16	3	0.0598635500574011	0.189912181764135
ASV385	Filtered	yes	-0.0102302416513587	0.00510616799753814	16	3	0.0648718180457683	0.189912181764135
ASV386	Filtered	yes	-0.0107529591973029	0.0053124215619493	16	3	0.062474750511223	0.189912181764135
ASV390	Filtered	yes	-0.00734203227477997	0.00359570055731361	16	3	0.0604728136624418	0.189912181764135
ASV395	Filtered	yes	-0.0109818921986833	0.00555699574479342	16	3	0.0681738491268865	0.189912181764135
ASV402	Filtered	yes	-0.0100607539470719	0.00495327670673536	16	3	0.0616775862970222	0.189912181764135
ASV435	Filtered	yes	-0.00974240023839911	0.00472147973030617	16	4	0.0581271697889973	0.189912181764135
ASV455	Filtered	yes	-0.00962356565889871	0.00469723496867854	16	3	0.0597138695619572	0.189912181764135
ASV473	Filtered	yes	-0.0087074724635736	0.00442480042134925	16	3	0.0692147319265884	0.189912181764135
ASV475	Filtered	yes	-0.010244133654743	0.0049990143496584	16	3	0.05966363680926	0.189912181764135
ASV478	Filtered	yes	0.00721113165491617	0.00358129250882158	16	3	0.0636927189373453	0.189912181764135
ASV489	Filtered	yes	-0.00882520128259718	0.00440727756587007	16	3	0.0650010361283826	0.189912181764135
ASV490	Filtered	yes	-0.00907094565891048	0.00454641123632197	16	3	0.0658629491956812	0.189912181764135
ASV495	Filtered	yes	-0.00899538174244122	0.00444618629101122	16	3	0.0625832441089331	0.189912181764135
ASV498	Filtered	yes	-0.00811530294272511	0.0041360923364556	16	3	0.0699474627150701	0.189912181764135
ASV502	Filtered	yes	-0.0102695849959416	0.0050515150025228	16	4	0.0614700041390559	0.189912181764135
ASV503	Filtered	yes	-0.00890431356618624	0.00437960860655339	16	3	0.061452134448909	0.189912181764135
ASV505	Filtered	yes	-0.0080407481175237	0.00408889844838883	16	3	0.0693902302378264	0.189912181764135
ASV507	Filtered	yes	-0.00632905547385322	0.0030990931107368	16	3	0.0604355218671412	0.189912181764135
ASV513	Filtered	yes	-0.00860883136320213	0.00421197611982724	16	3	0.0602511123582042	0.189912181764135
ASV519	Filtered	yes	-0.00269895565434345	0.00133262746388694	16	3	0.0623408382784157	0.189912181764135
ASV526	Filtered	yes	-0.01036372715538	0.00509377110264718	16	4	0.0612881351682666	0.189912181764135
ASV543	Filtered	yes	-0.00933082115343316	0.00461659894677577	16	3	0.0628151264210948	0.189912181764135
ASV544	Filtered	yes	-0.00726467925123794	0.00368679491776929	16	3	0.0688915328590543	0.189912181764135
ASV554	Filtered	yes	-0.00949552171169078	0.00480885072507304	16	3	0.0683766220822645	0.189912181764135
ASV564	Filtered	yes	-0.00926308579173162	0.0046087217534453	16	3	0.0641189590894351	0.189912181764135
ASV603	Filtered	yes	-0.00639515649709899	0.00324677864636634	16	3	0.0689874024527114	0.189912181764135
ASV626	Filtered	yes	-0.00761027333035131	0.00378161143302819	16	3	0.0638224232525955	0.189912181764135
ASV636	Filtered	yes	-0.00669289091845113	0.00336213996696998	16	3	0.0664077774915054	0.189912181764135
ASV640	Filtered	yes	-0.00635293920555979	0.00315319316740554	16	3	0.0635522943962104	0.189912181764135
ASV641	Filtered	yes	-0.00651302517750931	0.00323174169141856	16	3	0.0634865994943822	0.189912181764135
ASV649	Filtered	yes	-0.0075452396075666	0.00383560582821922	16	3	0.0693054131471287	0.189912181764135
ASV681	Filtered	yes	-0.00843028131754406	0.00424666767240653	16	3	0.0670771148006466	0.189912181764135
ASV682	Filtered	yes	-0.00553202555101154	0.00279223470994473	16	3	0.0675586220242272	0.189912181764135
ASV693	Filtered	yes	-0.00599911263332065	0.00305761667032294	16	3	0.0699534937742452	0.189912181764135
ASV725	Filtered	yes	-0.00565172620229359	0.00277660889786238	16	3	0.0611882862755971	0.189912181764135
ASV730	Filtered	yes	-0.00664710853014888	0.00336898497606628	16	3	0.0685708768340773	0.189912181764135
ASV742	Filtered	yes	-0.00571623462529602	0.00285813445432199	16	3	0.0652893805095261	0.189912181764135
ASV751	Filtered	yes	-0.00529218553581034	0.00261125524411193	16	3	0.0621820250494729	0.189912181764135
ASV754	Filtered	yes	-0.00557311647649619	0.00278011980309197	16	3	0.0647388184059616	0.189912181764135
